trainer_id,trainer_name
1,Морозова Алевтина Богдановна
2,Селезнев Эраст Адрианович
3,Терентьева София Николаевна
4,Сафонов Клавдий Абрамович
5,Галина Олеговна Александрова
6,Ермолай Игоревич Орлов
7,Белов Мирон Изотович
8,Константинова Алина Робертовна
9,Турова Марина Артемовна
10,Никонова Юлия Михайловна
11,Крюкова Ангелина Аскольдовна
12,Мамонтова Кира Артемовна
13,Антонина Мироновна Матвеева
14,Михаил Владиславович Фомин
15,Карл Артёмович Кошелев
16,Лукина Зинаида Валериевна
17,Касьян Гурьевич Зимин
18,Аполлон Давыдович Бирюков
19,Веселов Олег Евстигнеевич
20,Сысоев Ферапонт Жанович
21,Чернов Николай Фокич
22,Кудрявцев Иосиф Евсеевич
23,Наталья Харитоновна Власова
24,Всеслав Яковлевич Горшков
25,Васильев Венедикт Витальевич
26,Вишнякова Наталья Эльдаровна
27,Щербаков Эдуард Фролович
28,Лыткина Таисия Андреевна
29,Андреева Синклитикия Ивановна
30,Лукия Вадимовна Анисимова
