user_id,name,email,phone_number,registration_dttm
1,Наталья Даниловна Гущина,raisa_2019@example.net,+7 (465) 787-1331,2025-09-18
2,Жданов Иван Гурьевич,bogdanovaanastasija@example.org,+7 051 834 73 82,2026-02-14
3,Ульяна Филипповна Мухина,savvatikonstantinov@example.com,+7 (116) 566-7010,2025-10-13
4,Лаврентьева Валентина Ефимовна,evgrafbeljakov@example.com,+7 (624) 731-78-10,2026-01-18
5,г-жа Лыткина Анна Егоровна,nadezhdamartinova@example.com,+7 (602) 606-4746,2026-02-04
6,Тамара Рудольфовна Степанова,lavrrjabov@example.org,88050097882,2025-06-01
7,Анжелика Геннадиевна Виноградова,muravevizmail@example.com,+7 939 909 16 99,2025-11-29
8,Казимир Гертрудович Агафонов,izjaslav_46@example.org,+77510799118,2025-07-31
9,Титова Любовь Афанасьевна,moisebobrov@example.org,8 (849) 808-41-24,2025-06-23
10,Таисия Владиславовна Дорофеева,ernest35@example.org,+78740164005,2026-03-05
11,Белоусов Гостомысл Феофанович,larisa_1999@example.net,+7 112 805 9826,2025-06-28
12,Громов Андрон Ильясович,ipatharitonov@example.org,8 869 232 2602,2026-02-20
13,Надежда Ефимовна Федотова,valentinashcherbakova@example.org,8 (337) 543-30-36,2025-09-14
14,Архип Елисеевич Шестаков,nifont_2016@example.net,8 014 294 0196,2025-09-21
15,Веселова Нина Юльевна,viktor_1996@example.net,+7 (406) 088-3561,2026-01-22
16,Юлия Кузьминична Нестерова,molchanovladimir@example.net,+76564823662,2026-01-04
17,Маслова Таисия Александровна,konon36@example.net,85777387214,2025-11-26
18,Орехова Лора Богдановна,leonidtsvetkov@example.org,+7 (003) 791-76-93,2026-02-12
19,Горшкова Милица Ефимовна,agatarozhkova@example.org,8 328 708 31 72,2026-03-17
20,Тарас Жоресович Селиверстов,juli2025@example.net,8 (687) 277-4348,2025-11-14
21,Егорова Нинель Анатольевна,izmail45@example.com,8 (122) 362-3166,2025-09-15
22,Аксенова Анастасия Григорьевна,xguljaev@example.net,+7 967 054 6688,2026-03-16
